radix 16 0 90.2017 4.47608
radix 16 1 0.0 0.0
radix 16 2 0.0 0.0
radix 16 3 0.0 0.0
radix 16 4 0.0 0.0
radix 16 5 0.0 0.0
radix 16 6 0.0 0.0
radix 16 7 0.0 0.0
radix 16 8 0.0 0.0
radix 16 9 0.0 0.0
radix 16 10 0.0 0.0
radix 16 11 0.0 0.0
radix 16 12 0.0 0.0
radix 16 13 0.0 0.0
radix 16 14 0.0 0.0
radix 16 15 0.0 0.0
radix 16 16 0.0 0.0
radix 1 0 79.4749 2.08665
radix 1 1 0.0 0.0
radix 2 0 82.5882 2.21315
radix 2 1 0.0 0.0
radix 2 2 0.0 0.0
radix 8 0 87.3801 3.22762
radix 8 1 0.0 0.0
radix 8 2 0.0 0.0
radix 8 3 0.0 0.0
radix 8 4 0.0 0.0
radix 8 5 0.0 0.0
radix 8 6 0.0 0.0
radix 8 7 0.0 0.0
radix 8 8 0.0 0.0
fft 16 0 99.6476 97.5512
fft 16 1 99.1329 98.948
fft 16 2 99.22 99.6518
fft 16 3 98.7578 96.9588
fft 16 4 99.2151 99.6816
fft 16 5 99.3827 99.7394
fft 16 6 99.2188 98.904
fft 16 7 99.3789 97.047
fft 16 8 98.9097 98.9128
fft 16 9 99.689 98.9357
fft 16 10 99.688 99.7501
fft 16 11 99.6909 99.7477
fft 16 12 99.6909 99.5306
fft 16 13 99.5312 99.6458
fft 16 14 99.8438 99.7685
fft 16 15 99.6914 99.7335
fft 16 16 99.3789 99.6127
fft 1 0 99.4267 97.3286
fft 1 1 100.0 99.9373
fft 2 0 99.4733 97.3632
fft 2 1 100.0 99.8692
fft 2 2 99.9781 99.8559
fft 4 0 0.0 0.0
fft 4 1 0.0 0.0
fft 4 2 99.7409 99.9134
fft 4 3 100.0 99.933
fft 4 4 99.7841 99.9373
ocean 16 0 98.9 97.8174
ocean 16 1 93.9024 99.4815
ocean 16 2 97.3937 99.691
ocean 16 3 95.0772 99.3045
ocean 16 4 97.8548 98.8181
ocean 16 5 97.1452 98.8703
ocean 16 6 96.2017 99.5104
ocean 16 7 95.4018 99.6688
ocean 16 8 95.4726 99.822
ocean 16 9 97.2928 99.1238
ocean 16 10 93.7192 99.7931
ocean 16 11 97.1606 98.6835
ocean 16 12 97.0783 99.4258
ocean 16 13 94.7844 99.3163
ocean 16 14 96.7541 99.5812
ocean 16 15 96.0083 99.355
ocean 16 16 97.054 99.0572
ocean 1 0 94.7154 89.9814
ocean 1 1 99.9831 99.9919
ocean 2 0 93.3168 90.6895
ocean 2 1 93.0827 99.9575
ocean 2 2 95.0706 99.9707
ocean 4 0 95.62 94.0216
ocean 4 1 92.4516 99.9254
ocean 4 2 93.3289 98.7251
ocean 4 3 92.4437 99.8415
ocean 4 4 93.3943 98.7124
ocean 8 0 98.0342 96.3209
ocean 8 1 96.9368 99.8922
ocean 8 2 92.7916 99.258
ocean 8 3 96.1681 99.162
ocean 8 4 93.4711 99.2642
ocean 8 5 95.9148 99.3535
ocean 8 6 94.706 99.0131
ocean 8 7 91.5441 99.2362
ocean 8 8 94.5377 99.7451
lu-non 16 0 0.0 0.0
lu-non 16 1 98.8571 92.689
lu-non 16 2 99.5063 99.5993
lu-non 16 3 99.8158 99.384
lu-non 16 4 99.6556 99.6115
lu-non 16 5 99.8655 99.9148
lu-non 16 6 99.8833 99.9404
lu-non 16 7 99.9486 99.9588
lu-non 16 8 100.0 99.9698
lu-non 16 9 99.9209 99.9739
lu-non 16 10 99.9589 99.9774
lu-non 16 11 99.926 99.9754
lu-non 16 12 99.9474 99.9756
lu-non 16 13 99.8682 99.9682
lu-non 16 14 99.8942 99.9563
lu-non 16 15 99.8435 99.9342
lu-non 16 16 99.5495 95.7934
lu-non 1 0 0.0 0.0
lu-non 1 1 0.0 0.0
lu-non 2 0 0.0 0.0
lu-non 2 1 0.0 0.0
lu-non 2 2 0.0 0.0
lu-non 4 0 0.0 0.0
lu-non 4 1 99.9314 99.9029
lu-non 4 2 99.9444 99.9881
lu-non 4 3 99.9797 99.9909
lu-non 4 4 99.9654 99.989
lu-non 8 0 0.0 0.0
lu-non 8 1 99.8895 99.7871
lu-non 8 2 100.0 99.9826
lu-non 8 3 99.9927 99.9811
lu-non 8 4 99.9067 99.9787
lu-non 8 5 99.9122 99.9785
lu-non 8 6 99.938 99.9768
lu-non 8 7 99.9138 99.9755
lu-non 8 8 99.8474 99.964
fmm 16 0 98.0798 67.7991
fmm 16 1 99.8593 4.67631
fmm 16 2 92.4242 56.6974
fmm 16 3 92.4528 59.403
fmm 16 4 91.0112 59.511
fmm 16 5 92.1053 58.9882
fmm 16 6 93.6803 59.3659
fmm 16 7 93.0233 59.0292
fmm 16 8 96.1538 59.0333
fmm 16 9 94.5946 59.6957
fmm 16 10 92.1933 60.0256
fmm 16 11 93.6 59.8673
fmm 16 12 92.7757 59.9619
fmm 16 13 93.5849 59.4852
fmm 16 14 93.8224 59.6422
fmm 16 15 94.8413 59.9865
fmm 16 16 92.4242 59.4386
fmm 1 0 97.5886 62.4191
fmm 1 1 99.9222 4.64701
fmm 2 0 97.6249 62.8349
fmm 2 1 57.4751 25.0025
fmm 2 2 11.89 0.0744143
fmm 4 0 97.6696 63.5255
fmm 4 1 99.8741 4.65166
fmm 4 2 89.8649 69.9783
fmm 4 3 86.8243 70.3113
fmm 4 4 89.701 70.5721
fmm 8 0 97.8141 65.0839
fmm 8 1 99.8667 4.65999
fmm 8 2 88.3212 58.5566
fmm 8 3 90.8425 61.5654
fmm 8 4 88.7719 60.6538
